id,currentteamid,fullname,currentteam,wins,losses,ties,shutouts,savepercentage,goalagainstaverage,lastupdated
8473541,1,Jonathan Bernier,New Jersey Devils,0,0,0,0,0.0,0.0,"11/12/2022, 01:42:46"
8477970,1,Vitek Vanecek,New Jersey Devils,6,1,0,1,0.909091,2.32675,"11/12/2022, 01:42:48"
8478406,1,Mackenzie Blackwood,New Jersey Devils,4,2,0,0,0.880282,2.786124,"11/12/2022, 01:42:48"
8473575,2,Semyon Varlamov,New York Islanders,3,2,0,0,0.913043,2.929041,"11/12/2022, 01:42:50"
8478009,2,Ilya Sorokin,New York Islanders,6,4,0,1,0.935583,2.087072,"11/12/2022, 01:42:52"
8470860,3,Jaroslav Halak,New York Rangers,0,3,0,0,0.882353,3.478981,"11/12/2022, 01:42:54"
8478048,3,Igor Shesterkin,New York Rangers,7,2,0,1,0.909385,2.527393,"11/12/2022, 01:42:55"
8478433,4,Felix Sandstrom,Philadelphia Flyers,1,3,0,0,0.909091,3.069054,"11/12/2022, 01:42:59"
8479394,4,Carter Hart,Philadelphia Flyers,6,1,0,0,0.941176,2.087593,"11/12/2022, 01:43:00"
8477465,5,Tristan Jarry,Pittsburgh Penguins,4,3,0,0,0.903226,3.378872,"11/12/2022, 01:43:03"
8479193,5,Casey DeSmith,Pittsburgh Penguins,1,3,0,0,0.9125,2.798601,"11/12/2022, 01:43:04"
8480280,6,Jeremy Swayman,Boston Bruins,2,1,0,0,0.878049,3.452906,"11/12/2022, 01:43:05"
8476234,6,Keith Kinkaid,Boston Bruins,0,0,0,0,0.0,0.0,"11/12/2022, 01:43:06"
8476999,6,Linus Ullmark,Boston Bruins,10,1,0,1,0.935673,1.954012,"11/12/2022, 01:43:06"
8467950,7,Craig Anderson,Buffalo Sabres,3,1,0,0,0.927419,2.250938,"11/12/2022, 01:43:08"
8477480,7,Eric Comrie,Buffalo Sabres,4,6,0,0,0.884615,3.620314,"11/12/2022, 01:43:09"
