id,teamid,playername,currentteam,position,goals,GPG,assists,APG,shots,SPG,games,points,PPG,timeonicepergame,GPGDIF,APGDIF,SPGDIF,PPGDIF
8474090,1,Brendan Smith,New Jersey Devils,Defenseman,0,0.0,1,0.04,25,0.93,27,1,0.04,13.5,-0.07,-0.22,-0.5,-0.3
8475193,1,Tomas Tatar,New Jersey Devils,Left Wing,7,0.26,9,0.33,54,2.0,27,16,0.59,14.58,0.03,0.02,0.05,0.05
8475287,1,Erik Haula,New Jersey Devils,Left Wing,1,0.04,11,0.41,58,2.15,27,12,0.44,16.35,-0.19,0.1,0.2,-0.1
8476462,1,Dougie Hamilton,New Jersey Devils,Defenseman,7,0.26,14,0.52,97,3.59,27,21,0.78,21.44,0.19,0.26,2.16,0.44
8476923,1,Damon Severson,New Jersey Devils,Defenseman,2,0.07,4,0.15,31,1.15,27,6,0.22,17.45,-0.0,-0.11,-0.28,-0.12
8477425,1,Miles Wood,New Jersey Devils,Left Wing,6,0.23,7,0.27,71,2.73,26,13,0.5,13.13,0.0,-0.04,0.78,-0.04
8477435,1,Ryan Graves,New Jersey Devils,Defenseman,3,0.11,6,0.22,40,1.48,27,9,0.33,19.07,0.04,-0.04,0.05,-0.01
8478399,1,Jonas Siegenthaler,New Jersey Devils,Defenseman,1,0.04,9,0.33,33,1.22,27,10,0.37,20.41,-0.03,0.07,-0.21,0.03
8478507,1,John Marino,New Jersey Devils,Defenseman,2,0.07,6,0.22,35,1.3,27,8,0.3,21.41,-0.0,-0.04,-0.13,-0.04
8479407,1,Jesper Bratt,New Jersey Devils,Left Wing,10,0.37,20,0.74,62,2.3,27,30,1.11,17.1,0.14,0.43,0.35,0.57
8479414,1,Nathan Bastian,New Jersey Devils,Right Wing,3,0.14,5,0.24,26,1.24,21,8,0.38,13.43,-0.09,-0.07,-0.71,-0.16
8479415,1,Michael McLeod,New Jersey Devils,Center,3,0.11,9,0.33,31,1.15,27,12,0.44,11.43,-0.11,0.02,-0.67,-0.08
8480002,1,Nico Hischier,New Jersey Devils,Center,12,0.46,16,0.62,83,3.19,26,28,1.08,19.47,0.24,0.31,1.37,0.56
8480003,1,Jesper Boqvist,New Jersey Devils,Center,3,0.14,1,0.05,21,1.0,21,4,0.19,10.43,-0.08,-0.26,-0.82,-0.33
8480188,1,Fabian Zetterlund,New Jersey Devils,Left Wing,5,0.23,8,0.36,44,2.0,22,13,0.59,12.46,0.0,0.05,0.05,0.05
8481068,1,Yegor Sharangovich,New Jersey Devils,Center,8,0.3,6,0.22,49,1.81,27,14,0.52,14.52,0.08,-0.09,-0.01,-0.0
8481559,1,Jack Hughes,New Jersey Devils,Center,14,0.52,19,0.7,106,3.93,27,33,1.22,19.13,0.3,0.39,2.11,0.7
8482110,1,Dawson Mercer,New Jersey Devils,Center,7,0.26,9,0.33,53,1.96,27,16,0.59,15.08,0.04,0.02,0.14,0.07
8475151,2,Kyle Palmieri,New York Islanders,Center,6,0.3,3,0.15,37,1.85,20,9,0.45,16.2,0.08,-0.16,0.03,-0.07
8470610,2,Zach Parise,New York Islanders,Left Wing,9,0.31,5,0.17,71,2.45,29,14,0.48,16.18,0.08,-0.14,0.5,-0.06
8473504,2,Cal Clutterbuck,New York Islanders,Right Wing,3,0.12,2,0.08,21,0.88,24,5,0.21,12.06,-0.11,-0.23,-1.07,-0.33
8474573,2,Josh Bailey,New York Islanders,Right Wing,4,0.16,5,0.2,34,1.36,25,9,0.36,15.05,-0.07,-0.11,-0.59,-0.18
8474709,2,Matt Martin,New York Islanders,Left Wing,3,0.11,5,0.18,21,0.75,28,8,0.29,10.37,-0.12,-0.13,-1.2,-0.25
8475231,2,Casey Cizikas,New York Islanders,Center,1,0.03,5,0.17,32,1.1,29,6,0.21,13.11,-0.19,-0.14,-0.72,-0.31
8475314,2,Anders Lee,New York Islanders,Left Wing,9,0.31,12,0.41,81,2.79,29,21,0.72,16.56,0.08,0.1,0.84,0.18
8475754,2,Brock Nelson,New York Islanders,Center,14,0.48,14,0.48,93,3.21,29,28,0.97,18.38,0.26,0.17,1.39,0.45
8476419,2,Jean-Gabriel Pageau,New York Islanders,Center,7,0.24,9,0.31,49,1.69,29,16,0.55,18.04,0.02,0.0,-0.13,0.03
8476429,2,Scott Mayfield,New York Islanders,Defenseman,4,0.14,4,0.14,38,1.31,29,8,0.28,20.0,0.07,-0.12,-0.12,-0.06
8476917,2,Adam Pelech,New York Islanders,Defenseman,3,0.11,8,0.3,35,1.3,27,11,0.41,20.49,0.04,0.04,-0.13,0.07
8477506,2,Ryan Pulock,New York Islanders,Defenseman,1,0.03,11,0.38,37,1.28,29,12,0.41,20.11,-0.04,0.12,-0.15,0.07
8478445,2,Mathew Barzal,New York Islanders,Center,3,0.1,27,0.93,70,2.41,29,30,1.03,18.43,-0.12,0.62,0.59,0.51
8478463,2,Anthony Beauvillier,New York Islanders,Left Wing,5,0.19,6,0.22,58,2.15,27,11,0.41,14.56,-0.04,-0.09,0.2,-0.13
8480222,2,Sebastian Aho,New York Islanders,Defenseman,2,0.08,3,0.12,30,1.2,25,5,0.2,14.24,0.01,-0.14,-0.23,-0.14
8480789,2,Oliver Wahlstrom,New York Islanders,Right Wing,7,0.25,7,0.25,63,2.25,28,14,0.5,12.3,0.02,-0.06,0.3,-0.04
8480865,2,Noah Dobson,New York Islanders,Defenseman,8,0.28,10,0.34,87,3.0,29,18,0.62,20.23,0.21,0.08,1.57,0.28
8481014,2,Alexander Romanov,New York Islanders,Defenseman,0,0.0,8,0.28,39,1.34,29,8,0.28,19.56,-0.07,0.02,-0.09,-0.06
8475184,3,Chris Kreider,New York Rangers,Left Wing,13,0.45,10,0.34,91,3.14,29,23,0.79,19.29,0.22,0.03,1.19,0.25
8476389,3,Vincent Trocheck,New York Rangers,Center,9,0.31,9,0.31,98,3.38,29,18,0.62,20.19,0.09,0.0,1.56,0.1
8476459,3,Mika Zibanejad,New York Rangers,Center,15,0.52,17,0.59,120,4.14,29,32,1.1,20.58,0.3,0.28,2.32,0.58
