id,currentteamid,fullname,currentteam,primaryposition,lastupdated,wins,losses,ties,shutouts,savepercentage,goalagainstaverage
8473541,1,Jonathan Bernier,New Jersey Devils,Goalie,"10/27/2022, 19:12:25",,,,,,
8477970,1,Vitek Vanecek,New Jersey Devils,Goalie,"10/27/2022, 19:12:26",1.0,1.0,0.0,0.0,0.833333,3.428571
8478406,1,Mackenzie Blackwood,New Jersey Devils,Goalie,"10/27/2022, 19:12:26",3.0,2.0,0.0,0.0,0.871287,2.811655
8473575,2,Semyon Varlamov,New York Islanders,Goalie,"10/27/2022, 19:12:28",1.0,1.0,0.0,0.0,0.916667,2.532002
8478009,2,Ilya Sorokin,New York Islanders,Goalie,"10/27/2022, 19:12:30",2.0,3.0,0.0,1.0,0.93125,2.255768
8470860,3,Jaroslav Halak,New York Rangers,Goalie,"10/27/2022, 19:12:31",0.0,3.0,0.0,0.0,0.86747,3.692652
8478048,3,Igor Shesterkin,New York Rangers,Goalie,"10/27/2022, 19:12:33",3.0,0.0,0.0,0.0,0.916129,2.567619
8478433,4,Felix Sandstrom,Philadelphia Flyers,Goalie,"10/27/2022, 19:12:36",0.0,2.0,0.0,0.0,0.9,3.141361
8479394,4,Carter Hart,Philadelphia Flyers,Goalie,"10/27/2022, 19:12:37",4.0,0.0,0.0,0.0,0.948905,1.75
8477465,5,Tristan Jarry,Pittsburgh Penguins,Goalie,"10/27/2022, 19:12:40",4.0,1.0,0.0,0.0,0.923497,2.814856
8479193,5,Casey DeSmith,Pittsburgh Penguins,Goalie,"10/27/2022, 19:12:41",0.0,1.0,0.0,0.0,0.906667,3.421124
8476999,6,Linus Ullmark,Boston Bruins,Goalie,"10/27/2022, 19:12:43",5.0,0.0,0.0,0.0,0.935673,2.006486
8480280,6,Jeremy Swayman,Boston Bruins,Goalie,"10/27/2022, 19:12:44",1.0,1.0,0.0,0.0,0.816327,5.404504
8467950,7,Craig Anderson,Buffalo Sabres,Goalie,"10/27/2022, 19:12:45",2.0,0.0,0.0,0.0,0.969697,1.0
8477480,7,Eric Comrie,Buffalo Sabres,Goalie,"10/27/2022, 19:12:46",2.0,2.0,0.0,0.0,0.907895,3.505843
8474596,8,Jake Allen,Montréal Canadiens,Goalie,"10/27/2022, 19:12:48",2.0,3.0,0.0,0.0,0.917197,2.622436
8478470,8,Sam Montembeault,Montréal Canadiens,Goalie,"10/27/2022, 19:12:50",1.0,1.0,0.0,0.0,0.912281,2.477291
8475660,9,Cam Talbot,Ottawa Senators,Goalie,"10/27/2022, 19:12:51",,,,,,
8476341,9,Anton Forsberg,Ottawa Senators,Goalie,"10/27/2022, 19:12:52",3.0,2.0,0.0,0.0,0.90411,2.824321
8476433,9,Magnus Hellberg,Ottawa Senators,Goalie,"10/27/2022, 19:12:52",1.0,0.0,0.0,0.0,0.935484,2.0
8476899,10,Matt Murray,Toronto Maple Leafs,Goalie,"10/27/2022, 19:12:54",0.0,1.0,0.0,0.0,0.826087,4.047218
8478492,10,Ilya Samsonov,Toronto Maple Leafs,Goalie,"10/27/2022, 19:12:56",4.0,1.0,0.0,0.0,0.931507,2.005459
