id,gamedate,homeid,awayid
2022010001,2022-09-24T17:00:00Z,10,9
2022010002,2022-09-24T23:00:00Z,4,6
2022010003,2022-09-24T23:00:00Z,10,9
2022010004,2022-09-25T00:00:00Z,53,19
2022010005,2022-09-25T17:00:00Z,5,29
2022010006,2022-09-25T18:00:00Z,15,7
2022010007,2022-09-25T20:00:00Z,30,21
2022010008,2022-09-25T21:00:00Z,53,24
2022010009,2022-09-25T22:00:00Z,22,52
2022010010,2022-09-25T23:00:00Z,23,20
2022010011,2022-09-25T23:00:00Z,28,26
2022010012,2022-09-25T23:00:00Z,29,5
2022010013,2022-09-26T00:00:00Z,20,23
2022010014,2022-09-26T01:00:00Z,21,54
2022010015,2022-09-26T20:00:00Z,18,13
2022010016,2022-09-26T23:00:00Z,8,1
2022010017,2022-09-26T23:00:00Z,3,2
2022010018,2022-09-27T00:00:00Z,18,13
2022010019,2022-09-27T00:00:00Z,25,19
2022010020,2022-09-27T02:00:00Z,55,22
2022010021,2022-09-27T02:00:00Z,54,26
2022010022,2022-09-27T23:00:00Z,5,17
2022010023,2022-09-27T23:00:00Z,1,2
2022010024,2022-09-27T23:00:00Z,6,3
2022010025,2022-09-27T23:00:00Z,7,4
2022010026,2022-09-27T23:00:00Z,12,14
2022010027,2022-09-28T00:00:00Z,25,53
2022010028,2022-09-28T00:00:00Z,52,9
2022010029,2022-09-28T00:30:00Z,16,19
2022010030,2022-09-28T01:00:00Z,21,30
2022010031,2022-09-28T02:00:00Z,55,20
2022010032,2022-09-28T02:30:00Z,28,24
2022010034,2022-09-28T23:00:00Z,14,12
2022010033,2022-09-28T23:00:00Z,29,7
2022010035,2022-09-28T23:00:00Z,10,8
2022010036,2022-09-28T23:00:00Z,4,15
2022010037,2022-09-28T23:30:00Z,17,16
2022010038,2022-09-29T01:00:00Z,20,22
2022010039,2022-09-29T02:00:00Z,24,53
2022010040,2022-09-29T02:00:00Z,54,21
2022010041,2022-09-29T02:00:00Z,26,28
